query,clicks,impressions,ctr,position,id,cluster,section,fit,action,url,sourceRow
certified mercedes service near me,0.0,1.0,0.0,57.0,HUB,Scheduled service and maintenance,Service A/B and minor/major scope,Hold,Official/dealer or certification intent. Digi-Tec is positioned as independent; do not optimize by implying unverified authorization. URL is a related alternative only.,https://digitecme.com/brands/mercedes-benz-service-dubai,343
mercedes benz mechanic,0.0,1.0,0.0,58.0,HUB,General repair and workshop,Workshop and booking,Relevant,"Use the main Mercedes page for broad repair, service, garage and specialist wording.",https://digitecme.com/brands/mercedes-benz-service-dubai,344
mercedes service centers near me,0.0,1.0,0.0,59.0,HUB,Scheduled service and maintenance,Service A/B and minor/major scope,Relevant,Use one service booking destination; explain scope and link oil-only work and informational schedules separately. Include accurate Al Quoz location and Business Profile links; proximity varies by searcher.,https://digitecme.com/brands/mercedes-benz-service-dubai,345
where can i get my mercedes serviced near me,0.0,1.0,0.0,59.0,HUB,Scheduled service and maintenance,Service A/B and minor/major scope,Relevant,Use one service booking destination; explain scope and link oil-only work and informational schedules separately. Include accurate Al Quoz location and Business Profile links; proximity varies by searcher.,https://digitecme.com/brands/mercedes-benz-service-dubai,346
mercedes service contract,0.0,1.0,0.0,61.0,HUB,Scheduled service and maintenance,Service A/B and minor/major scope,Hold,"Product, tool or service capability is not established by this export/site review. Confirm an actual matching offering before targeting; URL is a related alternative only.",https://digitecme.com/brands/mercedes-benz-service-dubai,347
mercedes benz car repair,0.0,1.0,0.0,62.0,HUB,General repair and workshop,Workshop and booking,Relevant,"Use the main Mercedes page for broad repair, service, garage and specialist wording.",https://digitecme.com/brands/mercedes-benz-service-dubai,348
mercedes vin decoder dubai,0.0,1.0,0.0,65.0,HUB,General repair and workshop,Workshop and booking,Hold,"Product, tool or service capability is not established by this export/site review. Confirm an actual matching offering before targeting; URL is a related alternative only.",https://digitecme.com/brands/mercedes-benz-service-dubai,349
approved mercedes service centres near me,0.0,1.0,0.0,66.0,HUB,Scheduled service and maintenance,Service A/B and minor/major scope,Hold,Official/dealer or certification intent. Digi-Tec is positioned as independent; do not optimize by implying unverified authorization. URL is a related alternative only.,https://digitecme.com/brands/mercedes-benz-service-dubai,350
body shop for mercedes,0.0,1.0,0.0,67.0,BODY,Body repair,Body shop and paintwork scope,Relevant,Show original repair evidence and genuine workshop capability.,https://digitecme.com/services/mercedes-body-repair-dubai,351
best mercedes repair near me,0.0,1.0,0.0,75.0,HUB,General repair and workshop,Workshop and booking,Relevant,"Use the main Mercedes page for broad repair, service, garage and specialist wording. Include accurate Al Quoz location and Business Profile links; proximity varies by searcher.",https://digitecme.com/brands/mercedes-benz-service-dubai,352
who fix mercedes benz near me,0.0,1.0,0.0,85.0,HUB,General repair and workshop,Workshop and booking,Relevant,"Use the main Mercedes page for broad repair, service, garage and specialist wording. Include accurate Al Quoz location and Business Profile links; proximity varies by searcher.",https://digitecme.com/brands/mercedes-benz-service-dubai,353
service dedicat mercedes,0.0,1.0,0.0,97.0,HUB,Scheduled service and maintenance,Service A/B and minor/major scope,Relevant,Use one service booking destination; explain scope and link oil-only work and informational schedules separately.,https://digitecme.com/brands/mercedes-benz-service-dubai,354
